id,energy,ra,dec,reconstruction,gamma_d0,damping_d0
133,25753.693,4.908848,0.56860673,Shower,7.804743415399084e-05,0.9999219556114678
134,89239.03,4.6930947,-0.29017043,Track,4.159085395144537e-05,0.9999584100109361
135,4802843.0,5.895516,-0.38393354,Track,0.0010809423427924835,0.9989196416649365
136,27528.482,1.1354569,-0.6489753,Track,5.7731774198406217e-05,0.9999422698922484
137,46130.05,2.8296762,-0.8404606,Shower,5.184126874038956e-05,0.999948160074995
138,42278.293,4.412484,-0.0966388,Shower,4.148637523864181e-05,0.9999585144853091
139,31206.469,3.687541,-0.8502205,Track,2.1458646928817354e-05,0.9999785415833063
140,95120.484,4.458583,-0.18502487,Shower,5.803311323340776e-05,0.9999419685706551
141,69517.55,6.0175767,-0.9361611,Shower,2.665464236647951e-05,0.9999733457128653
142,22030.545,5.3871455,-0.48859546,Shower,3.3509457800878255e-05,0.9999664911036348
143,25568.033,4.633395,-0.28033942,Track,2.714425907501633e-05,0.9999728561093271
144,29679.123,2.7102613,0.047533914,Shower,9.559938059173383e-06,0.9999904401076369
145,80238.47,4.467692,-0.28873888,Track,2.842189345142885e-05,0.9999715785104467
146,100457.0,2.0945914,-0.24288926,Shower,7.863869143151125e-05,0.9999213644005094
147,30686.086,0.67927706,-0.0060109007,Shower,8.118152160352667e-05,0.999918821773527
148,114839.83,4.27771,0.53619623,Shower,0.00015422868466210638,0.9998457832079701
149,110755.61,2.5454357,0.60718644,Track,0.00011135094758623825,0.9998886552517005
150,29550.717,0.27934566,-0.31947622,Track,1.0691258252095945e-05,0.9999893087988992
151,22744.613,0.32108456,-0.5095813,Track,9.191351652504798e-06,0.9999908086905879
152,100079.164,1.5994352,0.96423227,Shower,7.774890361877811e-05,0.9999222541187489
153,36993.34,4.0521183,0.39178118,Shower,2.427016221751795e-05,0.9999757301323005
154,26971.697,1.7491485,-0.34542742,Shower,1.3171084537929897e-05,0.9999868290022004
155,80878.84,6.252322,0.91774213,Track,0.00025743366433387475,0.9997425994688687
156,35978.91,5.8724637,-0.13317996,Shower,1.7024660659708125e-05,0.999982975484259
157,112262.16,1.6871722,-0.070656024,Track,4.366549298543199e-05,0.9999563354603384
158,78845.49,3.851886,0.25359568,Track,3.440454734198807e-05,0.9999655960444876
159,158442.8,3.8841841,-0.36397758,Track,8.340673309413186e-05,0.9999165967451508
160,37913.48,4.6567163,0.14128317,Track,1.4843580537785718e-05,0.9999851565296276
161,98995.1,3.672353,-0.28569728,Shower,5.334787624562902e-05,0.9999466535467271
162,44247.86,1.4785844,-0.7761143,Track,3.1985326300505055e-05,0.9999680151852246
163,98114.836,0.5940117,-0.51738256,Shower,2.731113945125571e-05,0.9999726892334945
164,33534.773,3.1378314,-0.09005603,Shower,2.9941442416660832e-05,0.9999700590058238
165,76622.49,2.9274347,-0.44810846,Track,5.224495000213447e-05,0.9999477564147415
166,71863.92,1.59449,0.683018,Track,2.2220521891390514e-05,0.9999777797249826
