galaxy,n_points,quality_flag,radius_min,radius_max,rmse_baryon_only,rmse_shape_only,rmse_one_global_scale,delta_shape_vs_baryon,delta_global_vs_baryon,inner_rmse,outer_rmse,gas_fraction_proxy,disk_fraction_proxy,bulge_present,surface_brightness_proxy,failure_class
NGC3949,7,,1.74,7.07,32.027021331325585,71.34829812158395,32.91804770396025,39.321276790258366,0.8910263726346628,75.03416513672782,68.45377948044161,0.03164385218322432,0.9683561478167757,False,249.29142857142855,DISK_DOMINATED
NGC3953,8,,3.5,15.68,18.26639069797791,93.28336737845896,19.675665943651868,75.01697668048105,1.4092752456739568,92.25462299673983,94.30088968116095,0.00923284613376404,0.990767153866236,False,191.02749999999997,DISK_DOMINATED
NGC3972,10,,0.87,8.72,21.173242996045847,70.73928206947731,20.836664427259635,49.56603907343147,-0.3365785687862122,76.10651203362903,64.92989204892632,0.05281152862455016,0.9471884713754498,False,86.105,DISK_DOMINATED
NGC3992,9,,9.19,46.02,51.50181558835592,91.73427937773084,49.43427771881262,40.232463789374926,-2.067537869543294,93.77956583787082,90.06461485134547,0.03717258525462635,0.9628274147453736,False,46.166666666666664,DISK_DOMINATED
NGC4010,12,,0.87,10.47,17.706376631874576,60.988597372797535,17.487799625043845,43.28222074092296,-0.21857700683073134,62.58716837414165,59.346982854305715,0.07580262202002035,0.9241973779799797,False,81.97583333333336,DISK_DOMINATED
NGC4013,36,,5.49,31.01,39.2720830188511,59.40237971995084,36.94558370977967,20.130296701099738,-2.32649930907143,50.41751379589946,67.1964265078638,0.029755911669745814,0.7960165286169769,True,25.24166666666666,DISK_DOMINATED
NGC4051,7,,1.74,12.19,29.682131008832762,73.44791297198226,31.300816560144003,43.7657819631495,1.6186855513112413,77.65399195632581,70.12799733223497,0.019261685293612444,0.9807383147063876,False,180.33285714285716,DISK_DOMINATED
NGC4068,6,,0.21,2.33,6.0332781675934655,19.960381150240767,6.0035522919153985,13.927102982647302,-0.02972587567806695,20.883232192278758,18.992741890763057,0.2765747097099512,0.7234252902900489,False,19.611666666666668,DISK_DOMINATED
NGC4085,7,,0.87,6.2,33.53583468853068,78.99670783934462,34.14629768017001,45.460873150813946,0.6104629916393307,92.56546461740629,67.0415230037969,0.017782764437381453,0.9822172355626185,False,276.6942857142857,DISK_DOMINATED
NGC4088,12,,1.74,21.48,50.78967092195533,76.97492186607126,52.11402005537418,26.18525094411593,1.3243491334188562,80.34742247213488,73.44772899593168,0.04359849952846415,0.9564015004715359,False,191.55666666666664,DISK_DOMINATED
NGC4100,24,,2.61,22.76,29.35765118897049,62.21194042615033,27.79100757952557,32.85428923717984,-1.5666436094449203,62.569101143047874,61.85271736411262,0.03521647521857688,0.964783524781423,False,75.0758333333333,DISK_DOMINATED
NGC4138,7,,2.61,18.58,31.520891576041766,56.40477278470433,28.89766400110133,24.88388120866256,-2.6232275749404366,56.4779586582645,56.349821001590044,0.016334532397259852,0.7817714518796559,True,75.90285714285714,DISK_DOMINATED
NGC4157,17,,1.74,29.61,40.01023827592091,85.21109741156276,39.581734911554875,45.20085913564185,-0.428503364366037,89.35807188317229,81.34761417657128,0.04877719716292836,0.9238386995137784,True,147.0888235294117,DISK_DOMINATED
NGC4183,23,,0.87,21.02,33.263626959210285,57.357356953401606,32.60665190414555,24.09372999419132,-0.6569750550647342,62.11135056552574,52.62359148061854,0.2015438131757074,0.7984561868242926,False,24.853913043478265,DISK_DOMINATED
NGC4214,14,,0.21,5.63,33.48453104145477,40.22090397106887,32.62378468526562,6.736372929614099,-0.8607463561891535,40.107200210901425,40.33428719765053,0.09421962972413224,0.9057803702758678,False,63.62571428571427,DISK_DOMINATED
NGC4217,19,,0.87,16.72,64.40844387153238,100.04635386453398,65.46102863801336,35.6379099930016,1.052584766480976,113.21044964808218,86.50244639573783,0.01523376413362736,0.15282442974507604,True,43.69315789473685,GLOBAL_SHAPE
NGC4389,6,,0.87,5.32,57.39781645079807,59.74552147292537,57.961636372401934,2.3477050221273004,0.5638199216038657,62.730377518435354,56.60348406713277,0.013673654808825644,0.9863263451911743,False,291.81,DISK_DOMINATED
NGC4559,32,,0.67,20.97,23.931662308749097,64.24922011747537,22.86303813058538,40.31755780872628,-1.0686241781637165,67.56421970647158,60.75360719219264,0.1364062926572782,0.8635937073427218,False,57.14656249999997,DISK_DOMINATED
NGC5005,18,,0.49,11.47,57.02955192190641,116.04175927948575,62.168393151030564,59.012207357579335,5.138841229124154,105.49788852234808,125.70431699302316,0.04355580104368391,0.6735423942925989,True,964.7055555555556,GLOBAL_SHAPE
NGC5033,22,,0.76,44.59,61.16313286997931,84.6458080860518,39.73257936903063,23.482675216072494,-21.430553500948676,76.61825512582168,91.9753697168754,0.04480089592831918,0.6151035167589258,True,184.1890909090909,HSB_CLASS
NGC5055,28,,0.72,54.59,58.26922066188828,76.15870697285793,56.626489932036854,17.889486310969644,-1.6427307298514293,67.01536278517922,84.31630000377208,0.023987438467834056,0.9760125615321659,False,404.1403571428572,DISK_DOMINATED
NGC5371,19,,1.45,46.24,35.627456179710165,93.97551463610644,41.89893387446681,58.348058456396274,6.271477694756648,87.5468878047541,99.40645431390068,0.023402962166526074,0.976597037833474,False,244.0031578947368,DISK_DOMINATED
NGC5585,24,,0.09,10.96,24.17815477592229,50.937374617942815,23.66459130001938,26.759219842020524,-0.5135634759029095,50.46121047780227,51.40912859650733,0.15137945751897078,0.8486205424810292,False,94.12166666666667,DISK_DOMINATED
NGC5907,19,,5.03,50.33,43.25832707742752,86.26355137294098,40.789250496942834,43.00522429551346,-2.469076580484689,82.8784844029639,89.20034586344245,0.07002443247023553,0.9299755675297645,False,53.81,DISK_DOMINATED
NGC5985,33,,3.54,34.72,80.13943130227766,108.61016938927474,78.38610649645832,28.470738086997088,-1.7533248058193323,109.6999703908825,107.574389437138,0.019710972453403357,0.891179498783878,True,113.49121212121213,DISK_DOMINATED
NGC6015,44,,0.34,29.23,43.27900492409794,75.79033446560936,41.168240301344866,32.51132954151142,-2.1107646227530736,71.9672477297525,79.42962199974455,0.09065713143874428,0.9093428685612558,False,132.17590909090907,DISK_DOMINATED
NGC6195,23,,1.33,36.43,43.84749983065521,94.76863244448906,48.95114762781567,50.92113261383385,5.103647797160463,86.94762168134957,101.40939178962304,0.025943698108042052,0.4824449204495128,True,198.60652173913041,GLOBAL_SHAPE
NGC6503,31,,0.76,23.5,41.67287570412551,48.71788401392566,37.61139724584265,7.045008309800153,-4.061478458282856,46.18404998268676,50.97910222248801,0.07806010656881232,0.9219398934311877,False,56.95032258064516,DISK_DOMINATED
NGC6674,15,,2.5,72.41,77.68970787051921,104.56343650485239,67.79999331685897,26.873728634333176,-9.88971455366024,103.30814499418436,105.64958237647494,0.04456697209914851,0.8191931933569354,True,75.55666666666664,DISK_DOMINATED
NGC6789,4,,0.1,0.71,22.346909291739045,27.566761459193977,22.283671540072888,5.219852167454931,-0.06323775166615775,27.67190526384223,27.461215081732004,0.21197849465121074,0.7880215053487892,False,58.86,INSUFFICIENT_POINTS
NGC6946,58,,0.19,20.4,27.296852211301754,77.24540495025853,48.4196735981028,49.94855273895678,21.122821386801043,79.34530077526722,75.08680587654018,0.033364561792655574,0.8259598834039598,True,195.2437931034483,DISK_DOMINATED
NGC7331,36,,2.67,36.31,70.71859232887839,96.27776873872357,72.26587447219804,25.55917640984518,1.5472821433196486,84.01348119251907,107.1473400721106,0.02509452585239656,0.9149001454432745,True,242.20388888888888,DISK_DOMINATED
NGC7793,46,,0.11,7.87,11.486837363798388,55.085557056577066,11.183782152181577,43.59871969277868,-0.3030552116168117,56.69306593351987,53.42970585287162,0.06351728760221234,0.9364827123977876,False,312.3378260869566,DISK_DOMINATED
NGC7814,18,,0.63,19.53,53.45734425727352,85.68534351356924,38.15763487346836,32.22799925629572,-15.299709383805158,74.63425782255891,95.4656155134011,0.005119165719396972,0.2215125370783459,True,75.38055555555556,OUTER_TAIL
PGC51017,6,,0.33,3.63,4.522399935416963,6.680619114611235,4.576135701873164,2.1582191791942726,0.05373576645620126,5.431708642390518,7.730322421037699,0.32611957360715815,0.6738804263928418,False,10.648333333333335,GLOBAL_SHAPE
UGC00128,22,,1.25,53.75,65.11324314929104,71.09695233530869,64.30426728513437,5.983709186017649,-0.8089758641566647,76.44918123935412,65.30754895546684,0.3574606596629756,0.6425393403370243,False,7.271818181818182,GLOBAL_SHAPE
UGC00191,9,,0.62,9.98,23.831490758619328,39.13847880700273,23.606266717689167,15.306988048383399,-0.22522404093016135,35.92850838702323,41.528192472753304,0.22399460435901103,0.7760053956409889,False,39.887777777777785,DISK_DOMINATED
UGC00634,4,,4.51,18.01,48.762603305365005,54.48581013458991,48.42327550851032,5.723206829224907,-0.3393277968546826,54.89732565386441,54.071162814375676,0.4464542759801752,0.5535457240198249,False,3.185,INSUFFICIENT_POINTS
UGC00731,12,,0.91,10.91,36.16596928486053,13.159880344661687,36.05883952978871,-23.006088940198843,-0.1071297550718171,14.21340649693952,12.014323831343297,0.7728467337937879,0.22715326620621215,False,1.8066666666666664,GAS_DOMINATED
UGC00891,5,,1.48,7.39,25.538963308819817,35.09071999157641,25.412002715421657,9.55175668275659,-0.12696059339815946,41.208331305279025,30.334468896536503,0.5265731723507151,0.4734268276492849,False,3.304,INNER_SLOPE
UGC01230,11,,0.78,36.54,43.73505435771638,53.58701183084325,43.240430984979135,9.851957473126873,-0.49462337273724444,57.69671847628819,49.904391242802156,0.3173346328179213,0.6826653671820787,False,18.681818181818183,GLOBAL_SHAPE
UGC01281,25,,0.08,4.99,18.461825570134042,27.531833920164715,18.299751910757546,9.070008350030673,-0.16207365937649598,30.094280588517805,24.933848302910274,0.3423679824031361,0.657632017596864,False,10.0676,GLOBAL_SHAPE
UGC02023,5,,0.76,3.78,8.845647965450617,25.589313211637084,8.793995436897761,16.743665246186467,-0.051652528552855514,28.082175619396935,23.78267981941913,0.14868949923596791,0.851310500764032,False,26.198,DISK_DOMINATED
UGC02259,8,,1.02,8.14,39.096000450093676,41.400737312132435,38.89921916042451,2.3047368620387587,-0.1967812896691683,40.6409823200729,42.146798882428925,0.22484859192163778,0.7751514080783622,False,14.943749999999998,DISK_DOMINATED
UGC02455,8,,0.5,4.03,35.37808204018852,28.245961899371967,35.717065585367074,-7.13212014081655,0.3389835451785572,27.813788493806616,28.671621803855743,0.07282953985400985,0.9271704601459902,False,114.21875,DISK_DOMINATED
UGC02487,17,,9.93,80.38,109.51773009092928,129.71652427128814,103.76771204503599,20.19879418035886,-5.750018045893285,118.3501136226167,139.0421232007338,0.017402871766522533,0.7217371757324125,True,68.60117647058826,DISK_DOMINATED
UGC02885,19,,1.7,74.07,69.35716763455243,137.1203081358974,52.346466505753725,67.76314050134498,-17.0107011287987,131.30373155148325,142.15188000455348,0.0635442796078613,0.6950442252524914,True,117.53473684210526,HSB_CLASS
UGC02916,43,,0.37,38.0,39.97364888805376,56.43238794698636,40.42645181177715,16.4587390589326,0.4528029237233895,43.775858187296144,66.29670862646228,0.0262096283495898,0.16544667471468177,True,78.45581395348837,GLOBAL_SHAPE
UGC02953,115,,0.09,62.39,62.22481167957494,95.98791107915103,48.33530956419129,33.76309939957609,-13.88950211538365,81.07685760124427,108.66637122482268,0.004854697611996802,0.6582907803832433,True,792.7411304347822,OUTER_TAIL
UGC03205,48,,0.28,40.04,33.64653417615316,75.55936051400313,27.179426064375424,41.91282633784997,-6.467108111777737,74.9002276181911,76.21279305545332,0.0188725603378677,0.7137455323968428,True,201.93833333333342,DISK_DOMINATED
UGC03546,30,,0.63,29.23,72.11935937530671,61.99769326147823,79.01853254136878,-10.121666113828482,6.89917316606207,39.07193034472853,78.49084149520482,0.004798150331423136,0.3859649494479543,True,575.0256666666666,OUTER_TAIL
UGC03580,47,,0.11,27.06,39.24452840755698,48.01431851022571,36.79365774582295,8.769790102668736,-2.4508706617340295,39.984783013776706,54.61250188178582,0.04401487646143239,0.4870281297163557,True,158.65617021276591,OUTER_TAIL
UGC04278,25,,0.14,6.69,27.666859006304158,36.879653694927136,27.494319402273764,9.212794688622978,-0.17253960403039414,40.47810897319777,33.21375264727982,0.22256016162882516,0.7774398383711749,False,19.573599999999995,DISK_DOMINATED
UGC04305,22,,0.25,5.52,4.955072428351265,12.120519543982049,5.057443480335531,7.1654471156307835,0.10237105198426555,12.129020936845876,12.112012184012038,0.28675339124946575,0.7132466087505343,False,18.00090909090909,DISK_DOMINATED
UGC04325,8,,0.7,5.59,35.331222541708,37.34740218643806,35.15616799862102,2.016179644730059,-0.1750545430869792,37.43682890943275,37.25776082049186,0.1972145904114934,0.8027854095885065,False,31.77875,DISK_DOMINATED
UGC04483,8,,0.08,1.21,7.079526352533245,12.314181143323767,7.028165067826948,5.234654790790522,-0.05136128470629675,12.927919431594566,11.668205244654422,0.5576838483281309,0.442316151671869,False,8.98875,GLOBAL_SHAPE
UGC04499,9,,0.91,8.18,21.50254779202607,41.01271407623475,21.241861281483356,19.51016628420868,-0.2606865105427154,46.012964968239764,36.52290421753729,0.3149458313170668,0.6850541686829331,False,13.78,INNER_SLOPE
UGC05005,11,,0.78,28.61,33.6105146121397,52.8179210915432,33.32104964735524,19.207406479403495,-0.2894649647844645,54.42082243903057,51.44403285457386,0.3379417821347955,0.6620582178652046,False,11.72090909090909,GLOBAL_SHAPE
UGC05253,73,,0.13,53.29,44.104843857397995,57.78377849776997,44.95194015646575,13.678934640371978,0.8470962990677577,35.492511282750364,73.22578713156338,0.006681693518985175,0.26006395899172613,True,301.2730136986301,GLOBAL_SHAPE
