galaxy_id,distance_mpc,radius_kpc,v_obs,v_obs_err,v_gas,v_disk,v_bulge,v_baryon_ml1,target_archive_accel,d0_shape_response
ESO563-G021,60.8,20.3,319.0,10.4,33.06,272.19,0.0,274.1903712751416,1309.3911477832512,5586.669210266228
ESO563-G021,60.8,21.94,318.0,10.8,33.62,273.0,0.0,275.0623645648383,1160.651577028259,5247.824895480364
ESO563-G021,60.8,23.68,317.0,9.3,39.67,271.34,0.0,274.2245512349323,1067.985451858108,4910.760857023601
ESO563-G021,60.8,25.41,317.0,7.23,44.98,261.62,0.0,265.4585180400132,1181.455143644234,4597.09975988416
ESO563-G021,60.8,27.06,312.0,8.39,46.29,252.97,0.0,257.17034238029856,1153.2673688100522,4316.6279024646155
ESO563-G021,60.8,28.8,312.0,8.37,43.21,243.84,0.0,247.63895028851982,1250.657996527778,4039.3739806401722
ESO563-G021,60.8,30.53,311.0,11.5,45.08,233.85,0.0,238.15547211853016,1310.284018997707,3781.3702799077314
ESO563-G021,60.8,32.18,310.0,14.5,52.43,224.75,0.0,230.78446091537447,1331.2160534493473,3550.6665750954803
ESO563-G021,60.8,33.91,313.0,15.9,59.7,216.21,0.0,224.30081163473304,1405.4304305514602,3323.87769126541
ESO563-G021,60.8,35.65,320.0,8.83,61.56,208.83,0.0,217.71449767987434,1542.7881486676015,3110.3874052386855
ESO563-G021,60.8,37.3,321.0,7.88,63.33,202.65,0.0,212.31512287164097,1553.9755656836462,2920.6207744480516
ESO563-G021,60.8,39.03,320.0,8.0,62.96,196.77,0.0,206.59717931278735,1530.0436971560334,2734.074301688868
ESO563-G021,60.8,40.76,315.0,9.82,62.4,191.39,0.0,201.30546962266078,1440.1645706575073,2559.442962453129
ESO563-G021,60.8,42.41,312.0,9.07,62.21,186.89,0.0,196.97196805637088,1380.4773355340724,2403.289787814017
F561-1,66.4,1.61,23.4,10.0,5.21,28.61,0.0,29.080512375128468,0.0,525.2647204968944
F561-1,66.4,3.23,40.6,5.0,10.57,37.58,0.0,39.03820308364615,38.507337461300374,400.43643914066377
F561-1,66.4,4.84,45.5,5.0,15.71,39.1,0.0,42.138036261790845,60.875185950413176,305.7851461843948
F561-1,66.4,6.45,49.2,5.0,20.94,44.01,0.0,48.7377030644654,7.019581395348906,234.9176350115505
F561-1,66.4,8.06,50.4,5.0,25.97,48.52,0.0,55.03300191703157,0.0,186.8773416169732
F561-1,66.4,9.66,50.4,5.0,29.26,49.44,0.0,57.449640555881636,0.0,142.94431179772036
F563-1,48.9,1.07,22.1,7.17,1.98,18.3,0.0,18.40680309016207,139.8127102803739,316.6452336448598
F563-1,48.9,1.78,42.7,10.66,4.03,24.51,0.0,24.83910223820499,677.7016853932586,329.02832751729994
F563-1,48.9,2.49,60.6,7.69,6.25,27.45,0.0,28.152530969701463,1156.5441767068273,310.7502125890608
F563-1,48.9,2.97,76.8,11.1,7.78,28.28,0.0,29.33064608903118,1696.2805387205385,298.97196213344006
F563-1,48.9,3.04,81.6,17.5,8.01,28.2,0.0,29.315526602808962,1907.6183881578945,297.292009462714
F563-1,48.9,3.19,87.0,8.93,8.49,28.16,0.0,29.411999252005973,2101.546802507837,293.7238299954127
F563-1,48.9,6.95,90.0,24.8,17.83,29.57,0.0,34.52960758537519,993.9145611510792,217.01423864245461
F563-1,48.9,8.58,97.8,9.4,22.83,29.09,0.0,36.978872346246575,955.4082750582751,190.3280696785028
F563-1,48.9,9.26,93.7,25.3,24.91,28.73,0.0,38.02526791490101,791.9836933045357,180.18963198245487
F563-1,48.9,9.89,103.0,23.8,26.69,28.7,0.0,39.19242401281146,917.3866430738119,171.2792574881302
F563-1,48.9,10.08,97.4,11.0,27.31,28.73,0.0,39.63898333711398,785.2689484126985,169.24432269705804
F563-1,48.9,11.84,106.5,9.48,30.86,27.77,0.0,41.515208056807325,812.3933699324324,146.88717415430128
F563-1,48.9,14.56,112.0,11.0,30.44,25.73,0.0,39.8575776986008,752.4294986263736,118.0026327926665
F563-1,48.9,15.43,111.5,9.4,30.7,25.11,0.0,39.661090504422596,703.7749773169152,110.02115099080869
F563-1,48.9,17.93,111.0,24.3,33.36,23.48,0.0,40.794607486774524,594.3558282208588,89.96535218557847
F563-1,48.9,19.02,112.5,7.75,34.35,22.95,0.0,41.311318061761234,575.6900630914827,82.4078326445758
F563-1,48.9,20.1,106.0,10.7,35.34,22.07,0.0,41.6653393121909,472.6367910447761,75.5459702970127
F563-V1,54.0,1.31,12.0,5.0,4.66,11.06,0.0,12.001633222191055,0.0,109.95358778625958
F563-V1,54.0,2.63,21.7,5.0,9.66,16.85,0.0,19.422618258103103,35.60908745247147,117.30304270524891
F563-V1,54.0,3.93,28.6,5.0,13.79,23.41,0.0,27.16969267400719,20.297150127226452,134.18982535714787
F563-V1,54.0,5.24,29.5,5.0,16.46,24.18,0.0,29.250709393107034,2.795038167938923,102.5064508593234
F563-V1,54.0,6.55,28.6,5.0,18.52,23.59,0.0,29.991307073883924,0.0,78.30379419459598
F563-V1,54.0,7.87,27.3,5.0,20.17,23.33,0.0,30.840197794437053,0.0,59.69274175875828
F563-V2,59.7,0.28,11.9,7.89,0.95,6.22,0.0,6.2921300050142,364.3539285714286,141.39607142857142
F563-V2,59.7,0.87,34.8,7.89,2.93,17.64,0.0,17.881680569789854,1024.4660919540227,355.2118980240592
F563-V2,59.7,1.46,58.5,8.68,4.98,27.33,0.0,27.78001619869938,1815.4251369863014,485.3046374091093
F563-V2,59.7,2.05,81.5,14.2,7.2,35.16,0.0,35.88963081448456,2611.7972682926834,542.7555659057114
F563-V2,59.7,2.35,91.8,17.5,8.24,37.71,0.0,38.599762952640006,2952.0418297872343,523.8597892923386
F563-V2,59.7,4.76,114.0,8.68,16.62,45.06,0.0,48.02736719829643,2245.666386554622,360.9655871672932
F563-V2,59.7,7.86,116.0,8.68,34.33,41.16,0.0,53.59752326367329,1346.4765267175571,223.56642455733862
F563-V2,59.7,8.7,117.0,16.6,39.57,40.09,0.0,56.32932628746771,1208.7364367816092,196.34924902738948
F563-V2,59.7,10.18,118.0,51.9,39.57,38.11,0.0,54.93775568768714,1071.300884086444,156.2060126078218
F563-V2,59.7,10.47,118.0,40.3,39.57,37.78,0.0,54.70935294810203,1044.0197421203436,149.35994402153648
F565-V2,51.8,1.26,21.7,10.0,5.7,11.4,0.0,12.745587471748802,244.79365079365076,128.92857142857144
F565-V2,51.8,2.51,40.3,10.0,10.7,17.23,0.0,20.2820832263355,483.1582071713147,137.41608036401578
F565-V2,51.8,3.78,57.7,7.0,14.75,19.15,0.0,24.17198791990431,726.1917989417991,108.79894990654296
F565-V2,51.8,5.03,68.5,7.0,18.18,18.51,0.0,25.94479716629136,799.0293240556659,86.45874029904076
F565-V2,51.8,6.29,73.5,7.0,21.5,20.41,0.0,29.644866334662396,719.1465659777425,74.47269188646226
F565-V2,51.8,7.54,78.5,5.0,24.72,20.52,0.0,32.127072695781045,680.384774535809,59.18085728504721
F565-V2,51.8,8.8,83.1,6.0,27.11,18.68,0.0,32.922553060174415,661.5585795454544,46.942576800499566
F567-2,79.0,1.92,26.9,8.0,-8.25,24.52,0.0,25.87069577726892,28.290156249999992,348.5900520833333
F567-2,79.0,3.83,46.8,5.0,-11.91,32.41,0.0,34.52906312079724,260.570182767624,252.5576566526585
F567-2,79.0,5.75,47.6,5.0,-2.02,32.86,0.0,32.922029099069825,205.5478260869565,182.67257198851368
F567-2,79.0,7.67,48.1,8.0,17.45,32.97,0.0,37.30312855512256,120.2198956975228,132.12534911499966
F567-2,79.0,9.59,52.2,10.0,24.22,33.05,0.0,40.974515250335784,109.06455683003131,95.56501936075126
F568-1,90.7,0.44,15.7,9.1,-2.08,12.26,0.0,12.435191996909417,208.7636363636363,351.44090909090914
F568-1,90.7,1.32,44.5,9.1,-5.39,28.49,0.0,28.995382390994603,863.2710606060606,601.059014450079
F568-1,90.7,2.2,69.4,9.1,-6.26,35.84,0.0,36.38259473979282,1587.575818181818,539.7298797099779
F568-1,90.7,3.08,90.0,11.4,-3.53,40.15,0.0,40.30488059776384,2102.4404545454545,484.65847121230036
F568-1,90.7,3.96,105.0,9.88,1.83,41.23,0.0,41.270592435776834,2353.974292929293,435.2062810457402
F568-1,90.7,4.84,113.0,16.2,8.4,42.44,0.0,43.26330546779799,2251.505454545455,390.7999515367943
F568-1,90.7,5.53,117.0,24.8,13.64,43.19,0.0,45.29266717692832,2104.443815551537,359.17456937721624
F568-1,90.7,7.48,124.0,9.1,27.27,47.2,0.0,54.511401559673736,1658.3565641711227,309.26023576887894
F568-1,90.7,8.37,127.0,9.1,32.13,48.6,0.0,58.26059474464709,1521.4699044205495,285.6382821587944
F568-1,90.7,9.24,130.0,9.1,36.26,48.96,0.0,60.92511140736634,1427.2868831168832,256.8070268582395
F568-1,90.7,10.13,133.0,9.1,39.77,48.92,0.0,63.04616800409046,1353.8184304047384,230.32183167146704
F568-1,90.7,13.23,142.0,23.8,47.41,49.96,0.0,68.87459400969271,1165.5548223733938,157.645119871892
F568-3,82.4,0.64,12.4,8.6,1.18,13.56,0.0,13.611245350811954,0.0,289.47812500000003
F568-3,82.4,1.18,21.9,6.2,1.55,21.17,0.0,21.226667190117247,24.60898305084739,368.1093037126451
F568-3,82.4,1.8,32.3,1.88,1.6,27.72,0.0,27.76613765002255,151.29533333333333,394.6034178814041
F568-3,82.4,2.03,37.9,6.2,1.54,29.76,0.0,29.79981879139536,270.13832512315264,395.6624950862996
F568-3,82.4,2.78,53.1,9.5,1.46,36.4,0.0,36.42926845271532,536.8771223021585,409.7575344852221
F568-3,82.4,3.0,62.4,11.0,1.62,38.08,0.0,38.11444345651658,813.6830666666666,408.5907986846227
F568-3,82.4,3.64,68.0,6.2,2.96,42.4,0.0,42.50319517401015,774.0325274725275,397.7834320537417
F568-3,82.4,4.19,78.0,7.98,5.28,45.43,0.0,45.735798888835426,952.8011217183771,381.5048416245553
F568-3,82.4,4.6,82.3,6.2,6.86,46.43,0.0,46.93404414707942,993.5838043478263,367.68526984014045
F568-3,82.4,5.14,85.7,6.3,8.92,47.19,0.0,48.025644191410905,980.1609922178989,350.2447910853246
F568-3,82.4,5.39,85.5,6.51,9.95,47.91,0.0,48.93230630166536,912.0369944341373,342.45306827967545
F568-3,82.4,6.31,89.5,15.6,14.48,50.48,0.0,52.515719551387654,832.3849762282093,315.24279378427997
F568-3,82.4,9.1,95.2,15.5,26.69,51.31,0.0,57.83659913929933,628.34810989011,245.24773825882517
F568-3,82.4,10.17,97.5,6.2,29.9,52.01,0.0,59.992083644427616,580.8456145526058,222.7341161055805
F568-3,82.4,11.99,101.0,10.2,33.72,51.6,0.0,61.64088253748481,533.8950458715595,189.08479398917368
F568-3,82.4,14.02,107.0,10.7,36.41,50.13,0.0,61.95728367189769,542.8170470756063,157.51399368293153
F568-3,82.4,15.94,117.0,11.7,38.69,49.27,0.0,62.64542281763289,612.5816185696361,132.5197950224184
F568-3,82.4,17.98,120.0,12.0,39.0,48.97,0.0,62.60240330849927,582.922085650723,110.2941476307153
F568-V1,80.6,0.39,17.4,30.4,-1.11,12.25,0.0,12.30018699044856,388.3728205128202,387.93487179487187
F568-V1,80.6,1.18,46.3,37.1,-2.76,28.99,0.0,29.12108686158537,1098.0104237288133,691.5446108872461
F568-V1,80.6,1.95,69.1,13.1,-2.63,34.78,0.0,34.879296151155344,1824.7408717948715,644.3610031535667
F568-V1,80.6,2.74,85.2,6.2,-0.03,37.08,0.0,37.08001213592034,2147.4863868613143,599.2956550807569
F568-V1,80.6,3.53,93.2,6.2,3.84,41.2,0.0,41.37856449902534,1975.652804532578,557.3820892961119
F568-V1,80.6,4.3,100.0,12.4,7.34,44.37,0.0,44.97301968958722,1855.2156976744188,519.3522970815725
F568-V1,80.6,5.09,108.0,6.2,9.92,45.35,0.0,46.422288827674144,1868.16721021611,483.02981337158843
F568-V1,80.6,5.87,112.0,6.2,12.15,44.94,0.0,46.55347570267981,1767.763867120954,449.66014979379327
F568-V1,80.6,6.4,113.0,24.9,13.65,45.12,0.0,47.139547091587545,1647.947359375,428.31122821752854
F568-V1,80.6,7.44,113.0,15.5,17.06,45.76,0.0,48.83667883875806,1395.6960752688171,389.32002698125905
F568-V1,80.6,8.21,112.0,13.1,19.87,46.01,0.0,50.11723256525644,1221.9565164433616,362.75699236751035
F568-V1,80.6,9.0,111.0,26.4,22.99,44.52,0.0,50.10559350012731,1090.0477222222223,337.3864779402253
F568-V1,80.6,9.72,111.0,19.4,26.1,43.69,0.0,50.89229902450861,1001.1290020576132,315.8127353657667
F568-V1,80.6,11.79,113.0,12.5,34.23,40.77,0.0,53.23425400998872,842.6729601357083,261.16970194117584
F568-V1,80.6,17.63,118.0,14.6,36.03,33.12,0.0,48.939710869599544,653.9367385138968,152.80932466850777
F571-8,53.3,0.22,12.4,7.0,0.92,38.29,0.0,38.3010508994205,0.0,6668.047727272728
F571-8,53.3,0.78,37.5,4.0,2.67,85.69,0.0,85.73158694436958,0.0,9045.511379930373
F571-8,53.3,1.33,56.5,4.0,3.9,104.0,0.0,104.07309931005226,0.0,8542.375720796745
F571-8,53.3,2.33,69.1,4.0,5.34,114.45,0.0,114.57450894505287,0.0,7698.19221362205
F571-8,53.3,3.44,85.5,7.5,7.09,107.32,0.0,107.55394228014146,0.0,6858.481019752888
F571-8,53.3,3.78,87.1,8.4,7.29,103.7,0.0,103.95592383313227,0.0,6620.081998838601
F571-8,53.3,4.77,105.0,4.0,8.42,92.03,0.0,92.41437821031963,520.8768763102728,5972.076324659732
