event_name,catalog,m1_source,m2_source,chi_eff,final_mass_source,eta,loss_frac_obs,loss_frac_d0,loss_frac_spin_only,residual,domain
GW240622_004008,GWTC-5.0,18.6,11.3,0.25,28.7,0.23509804140893278,0.04013377926421414,0.04697613958433133,0.05153094683330073,0.006842360320117195,clean_BBH
GW240621_214041,GWTC-5.0,45.0,32.0,0.0,73.0,0.24287400910777535,0.05194805194805195,0.0443845874395159,0.04662586222166476,-0.0075634645085360525,clean_BBH
GW240621_200935,GWTC-5.0,41.6,31.6,-0.09,70.0,0.24533428887097256,0.043715846994535554,0.04452786418424792,0.046009827176803575,0.000812017189712369,clean_BBH
GW240621_195059,GWTC-5.0,36.8,29.7,0.0,62.9,0.24715020634292495,0.05413533834586468,0.04655369058052683,0.047467232783352964,-0.0075816477653378525,clean_BBH
GW240618_071627,GWTC-5.0,65.0,40.0,0.0,101.0,0.23582766439909297,0.0380952380952381,0.04092384564824403,0.0452410640112656,0.0028286075530059296,clean_BBH
GW240615_160735,GWTC-5.0,28.5,20.0,0.28,45.9,0.2423211818471676,0.053608247422680444,0.0518883725016831,0.05431736019755451,-0.001719874920997344,clean_BBH
GW240615_113620,GWTC-5.0,34.0,26.4,-0.07,57.8,0.24604184027016357,0.043046357615894065,0.045069188954742545,0.046330608826127495,0.0020228313388484798,clean_BBH
GW240612_081540,GWTC-5.0,55.0,38.0,0.07,88.0,0.24164643311365475,0.053763440860215055,0.04508441755655468,0.04770094396846669,-0.008679023303660376,clean_BBH
GW240601_231004,GWTC-5.0,10.6,7.7,0.09,17.7,0.24372181910478066,0.03278688524590172,0.04659185705785651,0.048577697098078576,0.013804971811954794,clean_BBH
GW240601_061200,GWTC-5.0,52.0,32.0,-0.08,82.0,0.23582766439909297,0.023809523809523808,0.039957163730305556,0.04427001539297393,0.016147639920781748,clean_BBH
GW240531_075248,GWTC-5.0,33.0,22.6,0.04,53.1,0.24125304073288134,0.044964028776978415,0.04427412247243656,0.04700725279091755,-0.0006899063045418541,clean_BBH
GW240531_040326,GWTC-5.0,19.5,14.3,0.14,32.3,0.24408284023668644,0.044378698224852076,0.04806866836415913,0.04994589067206934,0.0036899701393070528,clean_BBH
GW240530_012417,GWTC-5.0,14.1,8.3,0.04,21.6,0.23323899872448983,0.03571428571428559,0.04035988266695456,0.04540857622119776,0.004645596952668973,clean_BBH
GW240527_230910,GWTC-5.0,27.6,10.0,-0.03,36.4,0.19522408329560884,0.03191489361702135,0.023321715802666954,0.03695042087568701,-0.008593177814354397,clean_BBH
GW240527_183429,GWTC-5.0,52.0,33.0,0.31,80.0,0.23750865051903114,0.058823529411764705,0.05054913564511798,0.05441943649622083,-0.008274393766646723,clean_BBH
GW240526_093944,GWTC-5.0,14.5,8.4,0.22,22.1,0.23226101714307512,0.03493449781659377,0.04451416558871346,0.04985906509086557,0.009579667772119695,clean_BBH
GW240525_031210,GWTC-5.0,31.1,21.4,0.17,50.2,0.2414657596371882,0.04380952380952376,0.047588602815075376,0.05026684137459292,0.0037790790055516194,clean_BBH
GW240520_213616,GWTC-5.0,11.4,8.0,0.0,18.7,0.24232118184716764,0.03608247422680409,0.04410797692359758,0.0465171439363411,0.008025502696793488,clean_BBH
GW240519_012815,GWTC-5.0,65.0,39.0,-0.04,100.0,0.234375,0.038461538461538464,0.039682613790066545,0.044407906060331626,0.0012210753285280818,clean_BBH
GW240515_005301,GWTC-5.0,37.1,18.5,0.47,53.2,0.22202202266963408,0.043165467625899255,0.0498916061768091,0.05800757642936838,0.006726138550909845,clean_BBH
GW240514_121713,GWTC-5.0,46.8,36.7,0.01,78.9,0.24634228548890244,0.055089820359281366,0.046305593407792944,0.04747414540324202,-0.008784226951488422,clean_BBH
GW240513_183302,GWTC-5.0,24.4,16.9,0.14,39.4,0.2417555358828392,0.04600484261501207,0.046868945165918885,0.04945726941663253,0.0008641025509068118,clean_BBH
GW240512_024139,GWTC-5.0,12.6,8.0,0.14,19.7,0.23753416910170605,0.04368932038834961,0.04473244923042463,0.04857162711910756,0.0010431288420750182,clean_BBH
GW240511_031507,GWTC-5.0,40.5,32.2,0.05,69.1,0.2467414276227038,0.04951856946354895,0.047260858639555314,0.0483045587676213,-0.0022577108239936333,clean_BBH
GW240507_041632,GWTC-5.0,31.3,8.5,0.01,38.9,0.16795661725714,0.022613065326633132,0.014674628461359807,0.03211533527847832,-0.007938436865273325,clean_BBH
GW240505_133552,GWTC-5.0,31.0,23.1,-0.13,51.8,0.24466911073831238,0.042513863216266254,0.043929359032669035,0.04561713454951888,0.0014154958164027814,clean_BBH
GW240501_033534,GWTC-5.0,38.6,27.7,0.04,63.1,0.24324281284621985,0.04826546003016585,0.04527422981120044,0.04740459710417888,-0.0029912302189654127,clean_BBH
GW240428_225440,GWTC-5.0,19.8,14.7,0.03,33.0,0.24453686200378072,0.043478260869565216,0.04574064093701424,0.047472676267254266,0.002262380067449027,clean_BBH
GW240426_031451,GWTC-5.0,52.0,36.0,-0.05,84.0,0.24173553719008264,0.045454545454545456,0.04313143897221805,0.04571567424579104,-0.0023231064823274056,clean_BBH
GW240420_175625,GWTC-5.0,34.6,23.8,0.0,56.0,0.24145008444361038,0.041095890410959,0.04367388355253132,0.0463458602125999,0.002577993141572324,clean_BBH
GW240414_054515,GWTC-5.0,38.8,25.9,0.03,62.2,0.24006172824760105,0.03863987635239546,0.04349457887720254,0.046582671697358524,0.004854702524807082,clean_BBH
GW240413_022019,GWTC-5.0,7.9,5.57,0.07,12.92,0.24251974058770653,0.04083147735708988,0.045525452437284564,0.04787766858813025,0.00469397508019468,clean_BBH
GW240109_050431,GWTC-4.1,28.7,18.1,-0.07,45.2,0.2371749214697933,0.03418803418803407,0.040694516694461114,0.0446219076686859,0.006506482506427047,clean_BBH
GW240107_013215,GWTC-4.1,59.0,33.0,0.32,87.0,0.23003308128544422,0.05434782608695652,0.04708913112951363,0.053065749153970665,-0.007258694957442892,clean_BBH
GW240104_164932,GWTC-4.1,42.3,32.2,0.09,70.7,0.2454051619296428,0.05100671140939594,0.047457488976899165,0.04892184218779083,-0.0035492224324967722,clean_BBH
GW231231_154016,GWTC-4.1,22.5,17.2,-0.03,38.1,0.24554435343159334,0.040302267002518925,0.04528922823888737,0.046706763119295225,0.004986961236368444,clean_BBH
GW231230_170116,GWTC-4.1,53.0,35.0,-0.18,86.0,0.23954028925619836,0.022727272727272728,0.04126697966826487,0.04450274049936531,0.01853970694099214,clean_BBH
GW231226_101520,GWTC-4.1,40.2,35.1,-0.08,71.6,0.24885319280646334,0.04913678618857924,0.04640511097873101,0.0467751063813322,-0.002731675209848225,clean_BBH
GW231224_024321,GWTC-4.1,9.3,7.31,-0.01,15.89,0.2464115500226357,0.0433473810957254,0.04601812392210114,0.0471645108096016,0.0026707428263757424,clean_BBH
GW231223_202619,GWTC-4.1,11.1,8.3,0.1,18.7,0.2447922202146881,0.03608247422680409,0.04738329912452233,0.04903888586366156,0.011300824897718234,clean_BBH
GW231223_075055,GWTC-4.1,11.9,6.8,0.07,18.1,0.23140495867768596,0.03208556149732609,0.04007398772837867,0.04563089652119856,0.00798842623105258,clean_BBH
GW231223_032836,GWTC-4.1,46.0,31.0,-0.16,73.0,0.24051273401922751,0.05194805194805195,0.041769054777082815,0.044717003138401545,-0.010178997170969137,clean_BBH
GW231221_135041,GWTC-4.1,47.0,29.0,0.01,73.0,0.23597645429362882,0.039473684210526314,0.04115337450009238,0.04542889568654329,0.0016796902895660631,clean_BBH
GW231213_111417,GWTC-4.1,35.6,27.2,0.06,59.6,0.24552720191488503,0.05095541401273879,0.04684413839822066,0.04826935920647246,-0.004111275614518128,clean_BBH
GW231206_233901,GWTC-4.1,37.6,28.5,-0.05,63.1,0.24526172923709327,0.0453857791225415,0.04489358576868607,0.04639874550761125,-0.000492193353855426,clean_BBH
GW231206_233134,GWTC-4.1,35.6,28.2,-0.08,60.6,0.2466367272334195,0.05015673981191216,0.04527381450526202,0.04634836747983773,-0.004882925306650139,clean_BBH
GW231129_081745,GWTC-4.1,45.0,23.8,0.03,66.0,0.22626250676041104,0.04069767441860461,0.03692533856765734,0.043843529116459834,-0.0037723358509472726,clean_BBH
GW231127_165300,GWTC-4.1,45.0,28.0,0.05,71.0,0.23644210921373615,0.0273972602739726,0.04209383081900753,0.0462393325517918,0.014696570545034926,clean_BBH
GW231123_135430,GWTC-4.1,137.0,101.0,0.32,222.0,0.24428006496716334,0.06722689075630252,0.054621815397425166,0.056450488763618356,-0.012605075358877352,clean_BBH
GW231119_075248,GWTC-4.1,49.0,33.0,0.0,79.0,0.24048185603807257,0.036585365853658534,0.04319391873391498,0.04615551373102611,0.006608552880256448,clean_BBH
GW231118_090602,GWTC-4.1,12.9,7.4,0.08,19.6,0.23164842631464,0.03448275862068962,0.040400863765291395,0.045892473271805456,0.005918105144601775,clean_BBH
GW231118_071402,GWTC-4.1,43.0,29.0,0.12,69.0,0.24054783950617284,0.041666666666666664,0.04571880426309616,0.04866845266071251,0.004052137596429493,clean_BBH
GW231118_005626,GWTC-4.1,20.0,10.8,0.38,29.4,0.22769438353853935,0.045454545454545525,0.048477496543321674,0.05509818854339221,0.003022951088776149,clean_BBH
GW231114_043211,GWTC-4.1,22.8,8.2,0.08,30.1,0.19454734651404784,0.029032258064516082,0.024626198949559863,0.03839496816371557,-0.0044060591149562185,clean_BBH
GW231113_200417,GWTC-4.1,11.6,7.4,0.13,18.3,0.23778393351800556,0.03684210526315786,0.04458985683571193,0.04835536051934686,0.007747751572554071,clean_BBH
GW231113_150041,GWTC-4.1,56.0,29.0,0.04,82.0,0.22477508650519032,0.03529411764705882,0.03642206847574936,0.04372305942164867,0.0011279508286905354,clean_BBH
GW231113_122623,GWTC-4.1,39.8,26.4,0.33,63.0,0.2397568477834266,0.048338368580060256,0.05259867379496774,0.05580826177327192,0.004260305214907487,clean_BBH
GW231110_040320,GWTC-4.1,19.4,12.6,0.17,30.6,0.23871093749999997,0.043749999999999956,0.04617969351886286,0.049678365507564104,0.0024296935188629076,clean_BBH
GW231108_125142,GWTC-4.1,23.2,17.4,-0.08,38.9,0.24489795918367352,0.04187192118226591,0.044396170566708526,0.04601373389426233,0.002524249384442616,clean_BBH
